Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
Transport safety and human factors in the era of automation: What can transport modes learn from each other?,"Papadimitriou, E.; Schneider, C.; Aguinaga Tello, J.; Damen, W.; Lomba Vrouenraets, M.; ten Broeke, A.",Accident Analysis and Prevention,2020,144,,,10.1016/j.aap.2020.105656,"One of the main aims of introducing automation in transport is to improve safety by reducing or eliminating human errors; it is often argued however that this may induce new types of errors. There is different level of maturity with automation in different transport modes (road, aviation, maritime and rail), however no systematic research has been conducted on the lessons learned in different sectors, so that they can be exploited for the design of safer automated systems. The aim of this paper is to review the impact of key human factors on the safety of automated transport systems, with focus on relevant experiences from different transport sectors. A systematic literature review is carried out on the following topics: the level of trust in automation – in particular the impact of mis-aligned trust, i.e. mistrust vs overreliance, the resulting impact on operator situation awareness (SA), the implications for takeover control from machine to human, and the role of experience and training on using automated transport systems. The results revealed several areas where experiences from the aviation and road domain can be transferable to other sectors. Experiences from maritime and rail transport, although limited, tend to confirm the general patterns. Remarkably, in the road sector where higher levels of automation are only recently introduced, there are clearer and more quantitative approaches to human factors, while other sectors focus only on mental modes. Other sectors could use similar approaches to define their own context-specific metrics. The paper makes a synthesis of key messages on automation safety in different transport sectors, and presents an assessment of their transferability. © 2020 Elsevier Ltd","Aviation; Human factors; Maritime; Rail; Road; Safety; Transport automation; Accidents; Accidents, Traffic; Automation; Automobile Driving; Awareness; Humans; Man-Machine Systems; Mental Processes; Psychomotor Performance; Reaction Time; Transportation; Trust; Human engineering; Personnel training; Roads and streets; User experience; Automated systems; Automated transport systems; Levels of automation; Quantitative approach; Situation awareness; Systematic literature review; Systematic research; Transport sectors; accident; car driving; human; man machine interaction; mental function; prevention and control; procedures; traffic accident; traffic and transport"
A proactive lane-changing risk prediction framework considering driving intention recognition and different lane-changing patterns,"Shangguan, Q. Q.; Fu, T.; Wang, J. H.; Fang, S. E.; Fu, L. P.",Accident Analysis and Prevention,2022,164,,14,10.1016/j.aap.2021.106500,"Proactive lane-changing (LC) risk prediction can assist driver's LC decision-making to ensure driving safety. However, most previous studies on LC risk prediction did not consider the driver's intention recognition, which made it difficult to guarantee the timeliness and practicability of LC risk prediction. Moreover, the difference in driving risks and its influencing factors between LC to left lane (LCL) and LC to right lane (LCR) have rarely been investigated. To bridge the above research gaps, this study proposes a proactive LC risk prediction framework which integrates the LC intention recognition module and LC risk prediction module. The Long Short-term Memory (LSTM) neural network with time-series input was employed to recognize the driver's LC intention. The Light Gradient Boosting Machine (LGBM) algorithm was then applied to predict the LC risk. Feature importance analysis was lastly conducted to obtain the key features that affect the LC risk. The highD trajectory dataset was used for framework validation. Results show that the recognition accuracy of the driver's LCL, LCR and lane-keeping (LK) intentions based on the proposed LSTM model are 97%, 96% and 97%, respectively. Meanwhile, the LGBM algorithm outperforms other machine learning algorithms in LC risk prediction. The results from feature importance analysis show that the interaction characteristics of the LC vehicle and its preceding vehicle in the current lane have the greatest impact on the LC risk. The proposed framework could potentially be implemented in advanced driver-assistance system (ADAS) or autonomous driving system for improved driving safety.","Lane-changing risk prediction; Long Short-term Memory (LSTM); Driving; intention recognition; Trajectory data; model; assistance; behavior; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
"Human and machine drivers: Sharing control, sharing responsibility","Zhai, S. M.; Wang, L.; Liu, P.",Accident Analysis and Prevention,2023,188,,11,10.1016/j.aap.2023.107096,"Machines are empowered with ever-increasing agency and decision-making authority to augment or even replace humans in various settings, making responsibility attribution less straightforward when they cause harm. Focusing on their applications in transportation, we consider human judgments of responsibility for automated vehicle crashes through a cross-national survey (N = 1657) and design hypothetical crashes after the 2018 Uber automated vehicle crash reportedly caused by a distracted human driver and an inaccurate machine driver. We examine the association between automation level-the human and machine drivers have different levels of agency (i.e., the human as a supervisor, backup driver, and mere passenger, respectively)-and human responsibility through the lens of perceived human controllability. We show the negative association between automation level and human responsibility, partly mediated by perceived human controllability, regardless of the involved responsibility metric (rating and allocation), the nationality of the involved participant (China and South Korea), and crash severity (injury and fatality). When the human and machine drivers in a conditionally automated vehicle jointly cause a crash (e.g., the 2018 Uber crash), the human driver and car manufacturer are asked to share responsibility. Our findings imply that the driver-centric tort law needs to be control-centric. They offer insights for attributing human responsibility for crashes involving automated vehicles.","Automated vehicle; Traffic crash; Responsibility attribution; Controllability; autonomous vehicles; experimental vignette; automated cars; attribution; responses; liability; mind; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
The 'invisible gorilla' during pedestrian-AV interaction: Effects of secondary tasks on pedestrians' reaction to eHMIs,"Zhao, X. Y.; Li, X. M.; Rakotonirainy, A.; Bourgeois-Bougrine, S.; Gruyer, D.; Delhomme, P.",Accident Analysis and Prevention,2023,192,,11,10.1016/j.aap.2023.107246,"In road traffic, mental overload often leads to a failure to notice new and distinctive stimuli. Such phenomenon is known as 'inattentional blindness'. Safe and efficient interaction between automated vehicles (AVs) and pedestrians is expected to rely heavily on external human-machine interfaces (eHMIs), a tool AVs are equipped with to communicate their intentions to pedestrians. This study seeks to explore the phenomenon of 'inattentional blindness' in the context of pedestrian-AV interactions. Specifically, the aim is to understand the effects of a warning eHMI on pedestrians' crossing decisions when they are engaged in a secondary task. In an experiment study with videos of pedestrian crossing scenarios filmed from the perspective of the crossing pedestrian, participants had to decide the latest point at which they would be willing to cross the road in front of an AV with an eHMI vs. an AV without an eHMI. Participants were also asked to predict the future behavior of the AV. 125 female and 9 male participants aged between 18 and 25 completed the experiment and a follow-up questionnaire. It was found that the presence of a warning eHMI on AVs contributes to a clearer understanding of pedestrians' inferences about the intention of AVs and helps deter late and dangerous crossing decisions made by pedestrians. However, the eHMI fail to help pedestrians avoid such decisions when they face a high mental workload induced by secondary task engagement.","Automated vehicles; Pedestrian behavior; External human-machine; interface (eHMI ); Mental workload; Inattentional blindness; Distraction; informal communication signal; inattentional blindness; autonomous; vehicles; crossing behaviors; automated vehicles; gap acceptance; distraction; willingness; talking; walking; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
Artificial intelligence based decision-making in accounting and auditing: ethical challenges and normative thinking,"Lehner, O. M.; Ittonen, K.; Silvola, H.; Ström, E.; Wuhrleitner, A.",Accounting Auditing & Accountability Journal,2022,35,9,109-135,10.1108/aaaj-09-2020-4934,"Purpose This paper aims to identify ethical challenges of using artificial intelligence (AI)-based accounting systems for decision-making and discusses its findings based on Rest's four-component model of antecedents for ethical decision-making. This study derives implications for accounting and auditing scholars and practitioners. Design/methodology/approach This research is rooted in the hermeneutics tradition of interpretative accounting research, in which the reader and the texts engage in a form of dialogue. To substantiate this dialogue, the authors conduct a theoretically informed, narrative (semi-systematic) literature review spanning the years 2015-2020. This review's narrative is driven by the depicted contexts and the accounting/auditing practices found in selected articles are used as sample instead of the research or methods. Findings In the thematic coding of the selected papers the authors identify five major ethical challenges of AI-based decision-making in accounting: objectivity, privacy, transparency, accountability and trustworthiness. Using Rest's component model of antecedents for ethical decision-making as a stable framework for our structure, the authors critically discuss the challenges and their relevance for a future human-machine collaboration within varying agency between humans and AI. Originality/value This paper contributes to the literature on accounting as a subjectivising as well as mediating practice in a socio-material context. It does so by providing a solid base of arguments that AI alone, despite its enabling and mediating role in accounting, cannot make ethical accounting decisions because it lacks the necessary preconditions in terms of Rest's model of antecedents. What is more, as AI is bound to pre-set goals and subjected to human made conditions despite its autonomous learning and adaptive practices, it lacks true agency. As a consequence, accountability needs to be shared between humans and AI. The authors suggest that related governance as well as internal and external auditing processes need to be adapted in terms of skills and awareness to ensure an ethical AI-based decision-making.",Rest; Artificial intelligence; Decision-making; Ethics; Accounting; big data; social media; trust; accountability; transparency; technology; market; surveillance; automation; management; Business & Economics
Survey on computational trust and reputation models,"De Siqueira Braga, D.; Niemann, M.; Hellingrath, B.; De Lima Neto, F. B.",Acm Computing Surveys,2019,51,5,,10.1145/3236008,"Over the recent years, computational trust and reputation models have become an invaluable method to improve computer-computer and human-computer interaction. As a result, a considerable amount of research has been published trying to solve open problems and improving existing models. This survey will bring additional structure into the already conducted research on both topics. After recapitulating the major underlying concepts, a new integrated review and analysis scheme for reputation and trust models is put forward. Using highly recognized review papers in this domain as a basis, this article will also introduce additional evaluation metrics to account for characteristics so far unstudied. A subsequent application of the new review schema on 40 top recent publications in this scientific field revealed interesting insights. While the area of computational trust and reputation models is still a very active research branch, the analysis carried out here was able to show that some aspects have already started to converge, whereas others are still subject to vivid discussions. © 2018 Association for Computing Machinery.",Human computer interaction; Trusted computing; Additional structures; Computational reputation models; Computational trust model; Evaluation metrics; Reputation modeling; Review papers; Scientific fields; Trust and reputation; Trust models; Surveys
A Survey of Algorithmic Recourse: Contrastive Explanations and Consequential Recommendations,"Karimi, A. H.; Barthe, G.; Schölkopf, B.; Valera, I.",Acm Computing Surveys,2023,55,5,,10.1145/3527848,"Machine learning is increasingly used to inform decision making in sensitive situations where decisions have consequential effects on individuals' lives. In these settings, in addition to requiring models to be accurate and robust, socially relevant values such as fairness, privacy, accountability, and explainability play an important role in the adoption and impact of said technologies. In this work, we focus on algorithmic recourse, which is concerned with providing explanations and recommendations to individuals who are unfavorably treated by automated decision-making systems. We first perform an extensive literature review, and align the efforts of many authors by presenting unified definitions, formulations, and solutions to recourse. Then, we provide an overview of the prospective research directions toward which the community may engage, challenging existing assumptions and making explicit connections to other ethical challenges such as security, privacy, and fairness. © 2022 Copyright held by the owner/author(s).",Algorithmic recourse; contrastive explanations and consequential recommendations; Ethical technology; Algorithmics; Automated decision making systems; Contrastive explanation and consequential recommendation; Decisions makings; Explicit connections; Literature reviews; Machine-learning; Prospectives; Security/privacy; Decision making
Explainable Deep Reinforcement Learning: State of the Art and Challenges,"Vouros, G. A.",Acm Computing Surveys,2023,55,5,39,10.1145/3527448,"Interpretability, explainability, and transparency are key issues to introducing artificial intelligence methods in many critical domains. This is important due to ethical concerns and trust issues strongly connected to reliability, robustness, auditability, and fairness, and has important consequences toward keeping the human in the loop in high levels of automation, especially in critical cases for decision making, where both (human and the machine) play important roles. Although the research community has given much attention to explainability of closed (or black) prediction boxes, there are tremendous needs for explainability of closed-box methods that support agents to act autonomously in the real world. Reinforcement learning methods, and especially their deep versions, are such closed-box methods. In this article, we aim to provide a review of state-of-the-art methods for explainable deep reinforcement learning methods, taking also into account the needs of human operators-that is, of those who make the actual and critical decisions in solving real-world problems. We provide a formal specification of the deep reinforcement learning explainability problems, and we identify the necessary components of a general explainable reinforcement learning framework. Based on these, we provide a comprehensive review of state-of-the-art methods, categorizing them into classes according to the paradigm they follow, the interpretable models they use, and the surface representation of explanations provided. The article concludes by identifying open questions and important challenges.",Deep learning; deep reinforcement learning; interpretability; explainability; transparency; Computer Science
Macro Ethics Principles for Responsible AI Systems: Taxonomy and Directions,"Woodgate, J.; Ajmeri, N.",Acm Computing Surveys,2024,56,11,37,10.1145/3672394,"Responsible AI must be able to make or support decisions that consider human values and can be justified by human morals. Accommodating values and morals in responsible decision making is supported by adopting a perspective of macro ethics, which views ethics through a holistic lens incorporating social context. Normative ethical principles inferred from philosophy can be used to methodically reason about ethics and make ethical judgements in specific contexts. Operationalising normative ethical principles thus promotes responsible reasoning under the perspective of macro ethics. We survey AI and computer science literature and develop a taxonomy of 21 normative ethical principles which can be operationalised in AI. We describe how each principle has previously been operationalised, highlighting key themes that AI practitioners seeking to implement ethical principles should be aware of. We envision that this taxonomy will facilitate the development of methodologies to incorporate normative ethical principles in reasoning capacities of responsible AI systems.",Normative ethics; responsible AI; values; machine ethics; fairness; Computer Science
The AI Ghostwriter Effect: When Users do not Perceive Ownership of AI-Generated Text but Self-Declare as Authors,"Draxler, F.; Werner, A.; Lehmann, F.; Hoppe, M.; Schmidt, A.; Buschek, D.; Welsch, R.",Acm Transactions on Computer-Human Interaction,2024,31,2,40,10.1145/3637875,"Human-AI interaction in text production increases complexity in authorship. In two empirical studies (n1 = 30 & n2 = 96), we investigate authorship and ownership in human-AI collaboration for personalized language generation. We show an AI Ghostwriter Effect: Users do not consider themselves the owners and authors of AI-generated text but refrain from publicly declaring AI authorship. Personalization of AI-generated texts did not impact the AI Ghostwriter Effect, and higher levels of participants' influence on texts increased their sense of ownership. Participants were more likely to attribute ownership to supposedly human ghostwriters than AI ghostwriters, resulting in a higher ownership-authorship discrepancy for human ghostwriters. Rationalizations for authorship in AI ghostwriters and human ghostwriters were similar. We discuss how our findings relate to psychological ownership and human-AI interaction to lay the foundations for adapting authorship frameworks and user interfaces in AI in text-generation tasks.",Ownership; authorship; large language models; text generation; credit; Computer Science
